A095565	FiniteSequence	62,68,72,79,86,105,126,152,222,321,1112,10012,1010110,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 86 written in base 14 - n.
A095567	FiniteSequence	87,106,127,153,223,322,1113,10020,1010111,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 87 written in base 10 - n.
A095569	FiniteSequence	74,80,88,107,130,154,224,323,1120,10021,1011000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 88 written in base 12 - n.
A095571	FiniteSequence	75,81,89,108,131,155,225,324,1121,10022,1011001,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 89 written in base 12 - n.
A095573	FiniteSequence	76,82,90,110,132,156,230,330,1122,10100,1011010,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 90 written in base 12 - n.
A095575	FiniteSequence	61,67,70,77,83,91,111,133,160,231,331,1123,10101,1011011,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 91 written in base 15 - n.
A095577	FiniteSequence	62,68,71,78,84,92,112,134,161,232,332,1130,10102,1011100,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 92 written in base 15 - n.
A095579	FiniteSequence	63,69,72,79,85,93,113,135,162,233,333,1131,10110,1011101,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 15 a(n) = 93 written in base 15 - n.
A095581	FiniteSequence	86,94,114,136,163,234,334,1132,10111,1011110,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 94 written in base 11 - n.
A095583	FiniteSequence	87,95,115,137,164,235,340,1133,10112,1011111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 95 written in base 11 - n.
A095585	FiniteSequence	75,80,88,96,116,140,165,240,341,1200,10120,1100000,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 96 written in base 13 - n.
A095587	FiniteSequence	76,81,89,97,117,141,166,241,342,1201,10121,1100001,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 97 written in base 13 - n.
A095589	FiniteSequence	98,118,142,200,242,343,1202,10122,1100010,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 98 written in base 10 - n.
A095591	FiniteSequence	63,69,71,78,83,90,99,120,143,201,243,344,1203,10200,1100011,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 16 a(n) = 99 written in base 16 - n.
A095593	FiniteSequence	85,92,101,122,145,203,245,401,1211,10202,1100101,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 101 written in base 12 - n.
A095595	FiniteSequence	86,93,102,123,146,204,250,402,1212,10210,1100110,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 102 written in base 12 - n.
A095597	FiniteSequence	87,94,103,124,147,205,251,403,1213,10211,1100111,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 12 a(n) = 103 written in base 12 - n.
A095599	FiniteSequence	76,80,88,95,104,125,150,206,252,404,1220,10212,1101000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 14 a(n) = 104 written in base 14 - n.
A095601	FiniteSequence	63,69,70,77,81,89,96,105,126,151,210,253,410,1221,10220,1101001,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 17 a(n) = 105 written in base 17 - n.
A095603	FiniteSequence	97,106,127,152,211,254,411,1222,10221,1101010,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 106 written in base 11 - n.
A095605	FiniteSequence	98,107,128,153,212,255,412,1223,10222,1101011,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 107 written in base 11 - n.
A095607	FiniteSequence	84,90,99,108,130,154,213,300,413,1230,11000,1101100,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 13 a(n) = 108 written in base 13 - n.
A095609	FiniteSequence	109,131,155,214,301,414,1231,11001,1101101,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 109 written in base 10 - n.
A095611	FiniteSequence	110,132,156,215,302,420,1232,11002,1101110,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 110 written in base 10 - n.
A095613	FiniteSequence	111,133,157,216,303,421,1233,11010,1101111,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 111 written in base 10 - n.
A095615	FiniteSequence	112,134,160,220,304,422,1300,11011,1110000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 112 written in base 10 - n.
A095617	FiniteSequence	113,135,161,221,305,423,1301,11012,1110001,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 113 written in base 10 - n.
A095619	FiniteSequence	114,136,162,222,310,424,1302,11020,1110010,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 114 written in base 10 - n.
A095621	FiniteSequence	115,137,163,223,311,430,1303,11021,1110011,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 115 written in base 10 - n.
A095623	FiniteSequence	116,138,164,224,312,431,1310,11022,1110100,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 116 written in base 10 - n.
A095625	FiniteSequence	117,140,165,225,313,432,1311,11100,1110101,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 117 written in base 10 - n.
A095627	FiniteSequence	118,141,166,226,314,433,1312,11101,1110110,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 118 written in base 10 - n.
A095629	FiniteSequence	119,142,167,230,315,434,1313,11102,1110111,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 119 written in base 10 - n.
A095631	FiniteSequence	120,143,170,231,320,440,1320,11110,1111000,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 10 a(n) = 120 written in base 10 - n.
A095633	FiniteSequence	100,121,144,171,232,321,441,1321,11111,1111001,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 121 written in base 11 - n.
A095635	FiniteSequence	101,122,145,172,233,322,442,1322,11112,1111010,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 122 written in base 11 - n.
A095637	FiniteSequence	102,123,146,173,234,323,443,1323,11120,1111011,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 123 written in base 11 - n.
A095639	FiniteSequence	103,124,147,174,235,324,444,1330,11121,1111100,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 124 written in base 11 - n.
A095641	FiniteSequence	104,125,148,175,236,325,1000,1331,11122,1111101,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 125 written in base 11 - n.
A095643	FiniteSequence	105,126,150,176,240,330,1001,1332,11200,1111110,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 126 written in base 11 - n.
A095645	FiniteSequence	106,127,151,177,241,331,1002,1333,11201,1111111,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 127 written in base 11 - n.
A095647	FiniteSequence	107,128,152,200,242,332,1003,2000,11202,10000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 11 a(n) = 128 written in base 11 - n.
A104786	FiniteSequence	0,22,0,0,0,0,0,10213223,0,1031223314,0,0,0,10413223241516,0,1051322314251617,0,106132231415261718,1011112131415161718,10713223141516271819,101112213141516171819	# 21 a(n) = least member of A047841 with n digits, or 0 if no such number exists.
A104787	FiniteSequence	0,22,0,0,0,0,0,31331819,0,3122331819,0,0,0,41322324171819,0,5132232516171819,0,613223141526171819,1111213141516171819,10713223141516271819,101112213141516171819	# 21 a(n) = greatest member of A047841 with n digits, or 0 if no such number exists.
A110017	FiniteSequence	1,38,17370,31532760,152770174200,1623335272297200,33237789624004165200,1195230914866984819824000,70405077040237339921593072000,6434319990707289925222982683680000,873465373058505314477955434719930080000	# 11 Number of games that can be played with a set of 4n cards.
A110845	FiniteSequence	1,0,0,0,94488,0,74078592,3128434688,312335197020,18125860315136,552366841342848,9491208609103872,94117043084875944,549823502398291968,1920604779257215744,4051966906789380096,5193595576952890822,4051966906789380096,1920604779257215744,549823502398291968,94117043084875944,9491208609103872,552366841342848,18125860315136,312335197020,3128434688,74078592,0,94488,0,0,0,1	# 33 Weight enumerator of [128,64,16] Reed-Muller code RM(3,7).
A111098	FiniteSequence	1000,1000000000,1000000000000000000000000000,100,0,4,8,3,5,-1,-1,11,1000000,1,0,1000000000000000000000000,1000000000000000,0,6,2,4,5,2,6,20,0	# 26 Smallest nonnegative integer containing the n-th letter of the alphabet (in English), or -1 if no such integer exists.
