A063520	4577	FATO	timeout	  4002 ms
A063527	138	FATO	timeout	  4116 ms
A063698	1159	FATO	timeout	  4006 ms
A063793	28	FATO	timeout	  4623 ms
A063834	2354	FATO	timeout	  4008 ms
A063980	9340	FATO	timeout	  4003 ms
A064051	1000	pass	61	 ms
A064078	1000	pass	81	 ms
A064084	1000	pass	246	 ms
A064109	100	pass	7	 ms
A064131	91	pass	1084	 ms
A064139	200	pass	23	 ms
A064167	1000	pass	176	 ms
A064168	29	pass	8	 ms
A064174	10000	pass	188	 ms
A064179	65536	pass	269	 ms
A064184	15	pass	14	 ms
A064194	10000	pass	123	 ms
A064368	10001	pass	598	 ms
A064375	15	pass	133	 ms
A064376	38	pass	140	 ms
A064405	8192	pass	345	 ms
A064427	10000	pass	367	 ms
A064526	14	pass	16	 ms
A064538	10001	pass	50	 ms
A064544	10001	pass	49	 ms
A064614	1000	pass	13	 ms
A064615	10000	pass	16	 ms
A064624	14	pass	9	 ms
A064625	13	pass	3	 ms
A064632	9999	pass	572	 ms
A064775	1000	pass	29	 ms
A064856	401	pass	297	 ms
A064894	10001	pass	13	 ms
A064899	1000	pass	12	 ms
A064900	10000	pass	285	 ms
A064901	10000	pass	676	 ms
A064902	10000	pass	629	 ms
A064904	10000	pass	1357	 ms
A064053	722	FATO	timeout	  4008 ms
A064428	191	FATO	timeout	  4007 ms
A064460	406	FATO	timeout	  4019 ms
A064507	3754	FATO	timeout	  4002 ms
A064907	9788	FATO	timeout	  4014 ms
A064908	9978	FATO	timeout	  4008 ms
A064909	7141	FATO	timeout	  4009 ms
A065035	13	pass	34	 ms
A065049	10000	pass	265	 ms
A065176	16384	pass	63	 ms
A065293	1000	pass	53	 ms
A065294	1000	pass	142	 ms
A065330	10000	pass	114	 ms
A065338	1000	pass	17	 ms
A065355	101	pass	22	 ms
A065369	19683	pass	76	 ms
A065377	15	pass	29	 ms
A065490	2000	pass	152	 ms
A065520	61	pass	14	 ms
A065550	995	pass	655	 ms
A065653	25	pass	25	 ms
A065745	65536	pass	322	 ms
A065803	65536	pass	247	 ms
A065889	147	pass	20	 ms
A065980	200	pass	44	 ms
A065135	138	FATO	timeout	  4168 ms
A065314	44	FATO	timeout	  4048 ms
A065315	49	FATO	timeout	  4038 ms
A065316	60	FATO	timeout	  4385 ms
A065496	8862	FATO	timeout	  4003 ms
A065942	1545	FATO	timeout	  4018 ms
A065973	77	FATO	timeout	  4047 ms
A066022	1000	pass	736	 ms
A066047	1000	pass	41	 ms
A066068	101	pass	9	 ms
A066086	23374	pass	694	 ms
A066196	10000	pass	1976	 ms
A066197	10000	pass	641	 ms
A066246	10000	pass	78	 ms
A066300	14	pass	22	 ms
A066301	10000	pass	32	 ms
A066319	230	pass	38	 ms
A066321	10001	pass	43	 ms
A066332	32	pass	14	 ms
A066333	65	pass	13	 ms
A066356	15	pass	12	 ms
A066399	301	pass	3087	 ms
A066422	10000	pass	97	 ms
A066423	2000	pass	18	 ms
A066427	10000	pass	90	 ms
A066428	10000	pass	74	 ms
A066451	105	pass	11	 ms
A066479	55	pass	33	 ms
A066486	63	pass	24	 ms
A066501	61	pass	10	 ms
A066506	50	pass	12	 ms
A066507	69	pass	0	 ms
A066570	200	pass	161	 ms
A066638	10000	pass	83	 ms
A066651	10000	pass	340	 ms
A066660	1000	pass	27	 ms
A066669	10000	pass	383	 ms
A066743	10000	pass	176	 ms
A066750	1000	pass	15	 ms
A066760	10000	pass	62	 ms
A066768	25	pass	16	 ms
A066786	78	pass	18	 ms
A066805	85	pass	130	 ms
A066818	86	pass	78	 ms
A066838	2350	pass	1357	 ms
A066839	10000	pass	92	 ms
A066845	1000	pass	220	 ms
A066857	100	pass	31	 ms
A066867	10000	pass	52	 ms
A066868	84	pass	22	 ms
A066907	10000	pass	70	 ms
A066909	10000	pass	131	 ms
A066911	10000	pass	273	 ms
A066912	21	pass	10	 ms
A066913	1000	pass	18	 ms
A066947	9999	pass	489	 ms
A066955	1000	pass	190	 ms
A066966	1000	pass	509	 ms
A066997	70	pass	94	 ms
A066111	1948	FATO	timeout	  4008 ms
A066183	1865	FATO	timeout	  4006 ms
A066214	2673	FATO	timeout	  8774 ms
A066229	0	FATOK	blocked	  4000 ms
A066284	360	FATO	timeout	  4485 ms
A066488	393	FATO	timeout	  4025 ms
A066535	802	FATO	timeout	  4024 ms
A066536	594	FATO	timeout	  4061 ms
A066589	658	FATO	timeout	  4009 ms
A066655	340	FATO	timeout	  4048 ms
