aseqno	info
A064589	a(n)=(3^n)^12*((3^n)^2-1)*((3^n)^6-1)*((3^n)^8+(3^n)^4+1)
A064633	a(n)=3^n*n!*(n+2)!/2!
A064749	a(n)=n*11^n+1
A064756	a(n)=n*10^n-1
A064757	a(n)=n*11^n-1
A065097	a(n)=((2n+1)+(2n-1)-1)!/((2n+1)!*(2n-1)!)
A065140	a(n)=2^n*(2*n)!
A065141	a(n)=(n+1)*2^n*(2*n)!
A065142	a(n)=2^n*(n+1)*(3*n)!
A065236	a(n)=(4*n)!*(n+1)!/(2*n)!
A065440	a(n)=(n-1)^n
A065961	a(n)=(3*n-1)!*n/2
A066061	a(n)=(n^2+n+1)!
A066068	a(n)=n^n+n
A066084	a(n)=(n!)^2+n!+n
A066118	a(n)=n!*(3*n-1)/2
A066141	a(n)=n^(n-1)+n+1
A066142	a(n)=(n!)^2+n!+1
A066143	a(n)=n!+n^2+n
A066210	a(n)=((2*n)^(2*n+2)-1)/(4*n^2-1)
A066279	a(n)=n^n+n+1
A067055	a(n)=(n!)^(n*(n+1)/2)
A067550	a(n)=(n-1)!(n+2)!/(3*2^n)
A067624	a(n)=2^(2*n)*(2*n)!
A067626	a(n)=2^(2n+1)*(2n+1)!
A067667	a(n)=(2^n)!/2^(2^n-1)
A068087	a(n)=n^(2*n-2)
A068531	a(n)=(3^(2^n)-1)/2^(n+2)
A068532	a(n)=(5^(2^n)-1)/2^(n+2)/3
A068533	a(n)=(11^(2^n)-1)/2^(n+2)/15
A068534	a(n)=(7^(2^n)-1)/2^(n+2)/150
A068741	a(n)=(n^n)!
A069073	a(n)=n*(4n^2-1)^2
A069078	a(n)=n(4*n^4+1)
A069079	a(n)=(2n+1)(2n+2)(2n+4)(2n+5)
A070285	a(n)=n^(n-2)*(n-1)^(n-1)
A070969	a(n)=2^(2^n+1)+1
A071230	a(n)=n*(6*n^2-7*n+3)/2
A071233	a(n)=2*(n-1)*(n^2+1)
A071235	a(n)=(n^12+n^6)/2
