A001302	1	1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1
A001303	0,6,8,1	1,-7,21,-35,35,-21,7,-1
A001305	1	1,-2,0,2,-1,-1,2,0,-2,1,-1,2,0,-2,1,1,-2,0,2,-1,-1,2,0,-2,1,1,-2,0,2,-1,1,-2,0,2,-1,-1,2,0,-2,1
A001306	1	1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,0,0,1,-1,0,0,0,-1,1
A001310	1	1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,-1,1,1,-1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1
A001312	1	1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1
A001313	1	1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,0,1,-1,-1,1,0,1,-1,-1,1,0,-1,1,1,-1,0,1,-1,-1,1,0,-1,1,1,-1,0,-1,1,1,-1,0,1,-1,-1,1
A001318	0,1,1,1	1,-1,-2,2,1,-1
A001343	1	1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1
A001350	0,1,0,1	1,-1,-2,1,1
